,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13
2946,0.82297,0.77601,0.8241,0.80141,0.86614,0.9224,0.83875,0.95311,0.66814,0.23827,0.10456,0.12931
34549,0.7863,0.75253,0.80287,0.80064,0.84121,1.09339,1.02795,1.10705,0.62449,0.08162,0.69125,0.54473
39702,0.20274,0.18277,0.25284,0.17075,0.35183,0.99865,0.95201,1.01079,0.39758,0.01426,0.8887,0.74398
30998,0.529,0.51912,0.7024,0.65511,0.82699,0.8899,0.77709,0.93078,0.08746,0.0056,0.76636,0.65312
6225,0.58863,0.55907,0.62626,0.58002,0.7318,1.04155,1.01355,1.04483,0.69915,0.21419,0.10484,0.13704
10440,0.65977,0.58766,0.62491,0.64027,0.65071,0.65621,0.64655,0.66109,0.46593,0.05746,0.4442,0.41007
20730,0.45282,0.35654,0.42047,0.51317,0.56389,0.57805,0.53486,0.58096,0.14802,0.00163,0.10091,0.09705
7482,0.61796,0.5325,0.59203,0.61688,0.63784,0.75708,0.7432,0.75822,0.58672,0.1171,0.12283,0.14412
3270,0.15386,0.14034,0.2176,0.11924,0.30689,1.04278,0.96424,1.06482,0.20568,0.00031,0.76819,0.54756
6390,0.73782,0.69636,0.73702,0.73453,0.7752,0.92182,0.84298,0.95279,0.71389,0.31783,0.14498,0.17043
32681,0.73123,0.66874,0.70994,0.71013,0.72647,0.79483,0.73663,0.80533,0.42664,0.00719,0.0616,0.07707
13686,0.38511,0.35481,0.4653,0.38914,0.62479,0.86718,0.85896,0.87275,0.63657,0.06301,0.22753,0.24058
3999,0.47898,0.43755,0.47995,0.45888,0.55396,0.87806,0.81913,0.89318,0.29108,0.00623,0.61872,0.38369
34692,0.65135,0.59457,0.63833,0.64345,0.66956,0.77148,0.71052,0.80106,0.42159,0.03431,0.60834,0.51304
1658,0.7544,0.71421,0.75347,0.76355,0.78188,0.90984,0.83834,0.94815,0.65013,0.19844,0.62929,0.50493
16669,0.92262,0.87027,0.91071,0.92244,0.92877,0.98499,0.95505,0.98096,0.82105,0.24906,0.10288,0.12732
46060,0.90568,0.84033,0.88173,0.86636,0.89126,0.91168,0.85927,0.92608,0.50393,0.05657,0.62827,0.47867
26218,0.85956,0.82127,0.86909,0.87141,0.89647,1.03028,0.98172,1.02322,0.70806,0.10251,0.46284,0.44144
45671,0.37741,0.37426,0.52389,0.39293,0.70068,0.90717,0.87899,0.91463,0.49573,0.0623,0.74526,0.44492
27503,0.88072,0.82596,0.8601,0.86595,0.86671,0.86284,0.85067,0.85487,0.71846,0.14331,0.09563,0.11853
47691,0.55792,0.51446,0.56878,0.55177,0.61168,0.89139,0.86724,0.89832,0.47356,0.01231,0.65525,0.49163
32366,0.70972,0.65616,0.69504,0.71266,0.73494,0.8339,0.77645,0.85778,0.65204,0.25331,0.15805,0.18341
8381,0.3089,0.27162,0.34299,0.2756,0.40903,0.88674,0.86048,0.89747,0.42591,0.00178,0.3298,0.29957
20389,0.71116,0.65658,0.68706,0.63875,0.67342,0.71681,0.64145,0.7451,0.34757,0.04203,0.51335,0.37063
48227,0.26278,0.24308,0.30876,0.22931,0.38995,1.01779,0.93905,1.07851,0.21134,0.00489,0.73998,0.49293
13549,0.27545,0.24287,0.3157,0.24544,0.39259,0.77152,0.74521,0.77934,0.36656,0.00631,0.57078,0.45543
48558,0.51026,0.47728,0.52758,0.4525,0.56797,0.99354,0.81093,1.05326,0.21235,0.0096,0.60126,0.47587
24,0.39679,0.42926,0.67421,0.63473,0.66878,0.70573,0.63613,0.72831,0.2257,0.04221,0.52404,0.3259
45184,0.66287,0.61384,0.64579,0.59343,0.64511,0.89975,0.78741,0.92026,0.09513,0.00032,0.04921,0.05826
13578,0.41479,0.40643,0.5267,0.39147,0.59762,1.00455,0.81371,1.07095,0.25574,0.12013,0.88741,0.62658
24497,0.30878,0.27322,0.31244,0.30689,0.43688,0.86252,0.79915,0.88285,0.17455,0.00045,0.5664,0.34293
26714,0.77813,0.72732,0.76862,0.78011,0.79481,0.85587,0.81026,0.88242,0.58432,0.14882,0.65697,0.56288
30701,0.64357,0.61639,0.65138,0.69134,0.71065,0.72976,0.74114,0.78614,0.6392,0.24522,0.10529,0.13313
1904,0.90197,0.85265,0.91383,0.90491,0.90751,0.90609,0.88651,0.89716,0.84174,0.32637,0.17185,0.19658
36686,0.67127,0.63175,0.66424,0.65055,0.68071,0.90596,0.78675,0.94952,0.42121,0.01741,0.07151,0.08989
20780,0.55943,0.43769,0.50593,0.54375,0.56063,0.56801,0.56162,0.5756,0.40499,0.04331,0.10128,0.1193
15781,0.62205,0.57748,0.60448,0.61772,0.6227,0.62478,0.62362,0.62889,0.54641,0.16186,0.1205,0.1453
513,0.29637,0.32954,0.49239,0.77135,0.84496,0.92648,0.78523,0.97417,0.02668,0.00045,0.86976,0.70141
41738,0.66721,0.62719,0.66303,0.627,0.65377,0.67875,0.62342,0.69515,0.17601,0.00039,0.61401,0.5209
