,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13
332151,0.19194,0.15679,0.14436,0.14316,0.14131,0.13904,0.1364,0.13593,0.11428,0.02384,0.05025,0.05457
134175,0.3332,0.36809,0.33919,0.53286,0.70666,0.82411,0.65599,0.90092,0.01494,0.00111,0.47559,0.17079
119552,0.86562,0.82051,0.85596,0.88179,0.91221,0.93393,0.87762,0.94218,0.69965,0.18733,0.09224,0.11539
241425,0.28812,0.2657,0.27418,0.27433,0.27972,0.28537,0.27669,0.2911,0.13442,0.00078,0.30214,0.30245
331373,0.85118,0.80382,0.83405,0.84256,0.84396,0.84135,0.83314,0.83591,0.72151,0.11047,0.08515,0.10606
237876,0.39752,0.37715,0.39785,0.40695,0.41224,0.41731,0.416,0.42373,0.32282,0.05093,0.41082,0.37403
83002,0.1715,0.26569,0.12346,0.33882,0.87248,0.94452,0.81176,0.98556,0.03757,0.00038,0.69449,0.29381
8915,0.46761,0.44959,0.4658,0.56041,0.97625,0.98523,0.96002,0.99336,0.54763,0.026,0.66909,0.3565
208285,0.7826,0.75061,0.79528,0.80859,0.82016,0.82751,0.81882,0.836,0.5784,0.05078,0.73275,0.60668
276549,0.04876,0.02907,0.01573,0.01273,0.01055,0.00852,0.00672,0.00578,0.00338,0.00045,0.00047,0.0
90432,0.24155,0.32228,0.21399,0.43037,0.95941,0.98041,0.93183,0.99573,0.3568,0.00044,0.86709,0.4591
337688,0.60286,0.56333,0.58228,0.59258,0.5949,0.5948,0.59405,0.59406,0.5695,0.18861,0.08257,0.10311
178526,0.72731,0.70349,0.70505,0.75425,0.87413,0.91977,0.82819,0.94707,0.54077,0.08503,0.08284,0.10374
339655,0.37478,0.3417,0.34239,0.34647,0.34702,0.3462,0.34434,0.34483,0.31416,0.11429,0.09351,0.11053
159185,0.72238,0.68397,0.70694,0.71371,0.8446,0.89753,0.79852,0.93281,0.34485,0.00472,0.5686,0.42713
266254,0.05572,0.03321,0.01819,0.01484,0.01229,0.00992,0.00789,0.00672,0.00446,0.00072,0.00055,0.0
366213,0.87602,0.82533,0.85884,0.87082,0.87211,0.86938,0.8646,0.86407,0.81856,0.26865,0.10609,0.13097
300478,0.34567,0.31121,0.31025,0.31295,0.31382,0.31327,0.30999,0.31196,0.2632,0.0665,0.08914,0.10456
205164,0.43434,0.37393,0.39757,0.41057,0.41805,0.42243,0.41798,0.42832,0.29017,0.01637,0.40511,0.36929
300835,0.80053,0.74224,0.78178,0.79981,0.80303,0.80175,0.80037,0.79885,0.79394,0.29629,0.10562,0.12988
211372,0.80474,0.76354,0.80234,0.81433,0.82461,0.83225,0.82298,0.83958,0.58598,0.04934,0.63649,0.51061
146200,1.0162,0.95682,1.00091,0.99802,1.01643,1.02797,0.98914,1.03685,0.46165,0.00283,0.13854,0.20585
192015,0.61903,0.59658,0.5938,0.62755,0.8378,0.90152,0.7802,0.94064,0.3192,0.01028,0.10007,0.11672
200429,0.25631,0.17761,0.16928,0.16538,0.1684,0.16909,0.1557,0.1675,0.04232,0.001,0.14399,0.11923
392891,0.70532,0.66424,0.69121,0.70344,0.70658,0.7068,0.70453,0.70617,0.65093,0.16049,0.08224,0.09958
29537,0.25403,0.25561,0.19829,0.29722,0.79352,0.86575,0.73351,0.90664,0.02646,0.00046,0.79738,0.34663
