Clear_B01,Clear_B02,Clear_B03,Clear_B04,Clear_B05,Clear_B06,Clear_B07,Clear_B08,Clear_B09,Clear_B10,Clear_B11,Clear_B12,Clear_B13
0.10898,0.13472,0.17468,0.37185,0.72457,0.82557,0.91196,0.95299,1.00018,0.54308,0.00508,0.94926,0.92399
0.08591,0.18478,0.16376,0.26774,0.61527,0.89472,0.95782,0.83694,0.99154,0.05874,0.00029,0.66088,0.44218
0.15116,0.17332,0.14026,0.21572,0.12559,0.30841,0.88441,0.92652,0.9738,0.38637,0.00098,0.73228,0.62123
0.08861,0.25718,0.23924,0.29453,0.21406,0.37414,0.95803,0.83673,0.99193,0.05909,0.00028,0.93053,0.78382
0.21343,0.2044,0.19956,0.4423,0.57765,0.73633,0.86309,0.67535,0.94198,0.00965,0.00087,0.81451,0.51768
0.07928,0.96673,0.90435,0.95601,0.97746,0.98786,0.99241,0.9863,0.9978,0.78781,0.13131,0.96006,0.94745
0.1695,0.25661,0.22286,0.34163,0.22708,0.47249,0.95423,0.90932,0.97978,0.28499,0.00098,0.90852,0.80346
0.10211,0.53107,0.50621,0.56346,0.58678,0.597,0.60456,0.59771,0.61781,0.36497,0.0058,0.52148,0.52434
0.08134,0.12899,0.10356,0.09333,0.0907,0.09016,0.09063,0.08563,0.08547,0.04784,0.00087,0.06629,0.06183
0.10383,0.21584,0.20081,0.34323,0.18998,0.49085,0.98025,0.9472,0.99352,0.43602,0.00124,0.94507,0.90983
0.10015,0.30908,0.30928,0.50775,0.27977,0.64048,0.9531,0.84616,0.98726,0.08197,0.00034,0.9269,0.80625
0.16891,0.8625,0.77376,0.86282,0.80718,0.86666,0.93225,0.82446,0.97534,0.06397,0.00059,0.89384,0.10364
0.12244,0.21921,0.2337,0.46973,0.18556,0.63855,0.94469,0.82329,0.98416,0.05004,0.00056,0.91131,0.7619
0.08625,0.19788,0.20135,0.3776,0.19684,0.55654,0.99099,0.97936,0.99734,0.69735,0.04528,0.94259,0.76982
0.13021,0.3606,0.34419,0.48876,0.30663,0.62262,0.93227,0.78456,0.98025,0.02374,0.00038,0.89908,0.70907
0.09246,0.2458,0.26293,0.4371,0.27613,0.59418,0.99601,0.97848,1.00085,0.63937,0.02005,0.95381,0.88544
0.08767,0.22536,0.23387,0.38204,0.20406,0.5136,0.98986,0.94485,1.00047,0.36862,0.00053,0.83665,0.60432
0.10613,0.22175,0.22601,0.4283,0.25311,0.69113,0.99106,0.97106,0.99822,0.59107,0.01026,0.94694,0.82337
0.09017,0.30788,0.31281,0.51314,0.31764,0.71474,0.97509,0.88864,0.99726,0.14471,0.00035,0.94245,0.85374
0.08694,0.10297,0.10499,0.16281,0.10979,0.21299,0.3715,0.39432,0.41086,0.28562,0.01593,0.4229,0.40395
0.21989,0.26842,0.20798,0.29876,0.17447,0.35538,0.86298,0.68887,0.94023,0.01453,0.00105,0.66146,0.31509
0.12774,0.37392,0.3501,0.46264,0.36437,0.58239,0.97732,0.93749,0.99268,0.3736,0.00071,0.93444,0.88594
0.09555,0.36027,0.36442,0.58902,0.40839,0.83527,0.9934,0.98704,0.99846,0.7781,0.11091,0.94933,0.93423
0.17236,0.27587,0.22763,0.28275,0.21536,0.40024,0.92547,0.81302,0.97206,0.05436,0.00061,0.88643,0.58332
