,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,COT_est
63616,0.16277,0.24145,0.1477,0.40752,0.98144,0.98947,0.96837,0.99735,0.57554,0.00677,0.59639,0.26836,57.15,0.0
195888,0.71014,0.67171,0.69503,0.70616,0.70987,0.71108,0.70852,0.71156,0.64185,0.1694,0.08149,0.10335,44.66,2.0
130379,0.61307,0.59934,0.67525,0.71011,0.75039,0.79882,0.8426,0.91045,0.59066,0.03737,0.06426,0.08196,36.83,2.0
92448,0.39585,0.31491,0.32564,0.32542,0.33201,0.3375,0.30993,0.3138,0.09258,0.00143,0.25841,0.2286,81.45,2.0
30149,0.5556,0.51699,0.52287,0.53928,0.79164,0.82356,0.75009,0.84363,0.1282,0.00043,0.48786,0.35416,64.63,2.0
174004,0.77131,0.70334,0.74588,0.75629,0.76286,0.76409,0.75089,0.76128,0.61741,0.09059,0.08027,0.09972,71.02,2.0
163956,0.64606,0.55969,0.5995,0.62001,0.62821,0.63169,0.62688,0.63525,0.50252,0.17078,0.51679,0.43306,75.41,2.0
85618,0.31821,0.44224,0.28716,0.54765,0.89572,0.95318,0.84069,0.98814,0.07011,0.00036,0.63476,0.27049,61.98,0.0
161628,0.54285,0.41839,0.45402,0.47875,0.53985,0.54689,0.52136,0.54752,0.29299,0.00889,0.33505,0.26068,82.97,2.0
70895,0.88364,0.80102,0.87486,0.7993,0.86451,0.93398,0.81199,0.97777,0.04452,0.00069,0.89687,0.73543,74.07,0.0
50092,0.2242,0.24879,0.16801,0.36573,0.8912,0.93692,0.86185,0.97446,0.14649,0.00081,0.74444,0.30509,81.1,0.0
102897,0.80953,0.72365,0.78492,0.80906,0.825,0.83257,0.81873,0.84046,0.53932,0.0254,0.29147,0.35123,75.19,1.0
88315,0.28401,0.37034,0.22528,0.47231,0.92089,0.96348,0.87443,0.9911,0.12878,0.00034,0.68054,0.26873,60.73,0.0
156482,0.77266,0.73692,0.75336,0.76868,0.86121,0.90918,0.81294,0.93841,0.51683,0.04528,0.07097,0.08944,53.94,2.0
17694,0.71794,0.71783,0.71,0.7909,1.05358,1.09052,0.99676,1.11349,0.38602,0.00671,0.66041,0.47287,33.95,2.0
136590,0.68738,0.63354,0.66876,0.70117,0.86917,0.86772,0.85505,0.86308,0.66049,0.06567,0.07451,0.09234,68.07,2.0
85763,0.2574,0.28814,0.19955,0.41306,0.94099,0.96305,0.92184,0.98458,0.32746,0.00094,0.79268,0.38886,75.53,0.0
18813,0.63567,0.56791,0.59478,0.62659,0.71414,0.73059,0.68934,0.7403,0.35796,0.01037,0.45985,0.35113,72.68,2.0
130999,0.68953,0.86283,0.91712,0.92928,0.93931,0.94226,0.92314,0.94341,0.59539,0.00976,0.06677,0.08445,58.95,2.0
157748,0.84133,0.79952,0.82311,0.83564,0.88363,0.91147,0.85127,0.92775,0.66728,0.14965,0.09575,0.11914,47.28,2.0
72698,0.12671,0.19798,0.09955,0.29087,0.93438,0.99283,0.96508,1.00004,0.52503,0.00356,0.69335,0.3745,40.89,0.0
3984,0.40618,0.58013,0.49693,0.91422,0.93695,0.95199,0.91189,0.96561,0.41479,0.0135,0.65564,0.40413,56.59,2.0
62590,0.96765,0.9013,0.93984,0.89896,0.93759,0.9718,0.89569,0.99411,0.18238,0.00041,0.94311,0.86666,56.63,0.0
